Model,CV RMSE,CV MAE,CV R2,Test RMSE,Test MAE,Test R2
Dummy Regressor,29.736594184055523,25.243938807653073,0.0,30.19923027834703,26.346252918424895,-2.0902138331087117
Linear Regression,16.23967867584854,12.559602772274927,-0.3695253064152258,30.222052685859705,26.31600110032309,-2.094886320985788
Random Forest,10.750231249461391,8.016607262455064,0.26855495393691375,3.3139917855508942,2.263795859000681,0.9627865752496669
Gradient Boosting,10.691466693539033,8.051410521956672,0.2699871401313579,2.9046830393449192,1.9602486967329231,0.9714113082189595
XGBoost,10.687058906908442,8.099177120226374,0.24495244634690289,3.1937627363524137,2.2725048131766505,0.965437743926681
AdaBoost,11.771394779424254,8.640804038460292,0.09880283861005279,4.069027754935056,2.9270341614074886,0.9438980328982725
Gradient Boosting Tuned,10.2,8.051410521956672,0.2699871401313579,2.7682713990484484,1.9497054157277451,0.9740334580963668
